path_to_img,clarity
gs://ss_diamonds_dataset/VVS1/2072952.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220637-38.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2091377.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220345-7.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2103615.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220589-261.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2004620.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2115739.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2098409.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2095887.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2030591.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220637-10.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220337-178.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2137567.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2110872.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2095878.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220444-85.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2100485.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2109648.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2111007.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2073696.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2111013.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2130963.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220276-85.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220549-12.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/221219-31.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/221203-96.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2102084.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2122354.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2134250.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2086384.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220477-102.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2127238.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2098743.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/220558-57.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/221203-104.jpg,VVS1
gs://ss_diamonds_dataset/VVS1/2106355.jpg,VVS1
